AAON	AAON, Inc.
AAPL	Apple Company
AAWW	Atlas Air Worldwide Holdings
ABAX	ABAXIS, Inc.
ABCO	The Advisory Board Company
ABFS	Arkansas Best Corporation
ABMD	ABIOMED, Inc.
ACIW	ACI Worldwide, Inc.
ACOM	Ancestry.com, Inc.
ACOR	Acorda Therapeutics, Inc.
ACTG	Acacia Research Corporation
ADES	ADA-ES, Inc.
ADSK	Autodesk, Inc.
ADTN	ADTRAN, Inc.
AFFY	Affymax, Inc.
AGYS	Agilysys, Inc.
AIRM	Air Methods Corporation
AKAM	Akamai Technologies, Inc.
ALGN	Align Technology, Inc.
ALGT	Allegiant Travel Company
ALKS	Alkermes plc
ALLT	Allot Communications Ltd.
ALTE	Alterra Capital Holdings Limited
ALTR	Altera Corporation
ALXN	Alexion Pharmaceuticals, Inc.
AMAG	AMAG Pharmaceuticals, Inc.
AMGN	Amgen Inc.
AMLN	Amylin Pharmaceuticals, Inc.
AMRS	Amyris, Inc.
AMSF	AMERISAFE, Inc.
AMZN	Amazon.com, Inc.
ANDE	The Andersons, Inc.
ANSS	ANSYS, Inc.
APEI	American Public Education, Inc.
APKT	Acme Packet, Inc.
APOL	Apollo Group, Inc.
ARAY	Accuray Incorporated
ARBA	Ariba, Inc.
AREX	Approach Resources Inc.
ARII	American Railcar Industries, Inc.
ARLP	Alliance Resource Partners, L.P.
AROW	Arrow Financial Corporation
ARRS	Arris Group Inc
ARTC	ArthroCare Corporation
ARUN	Aruba Networks, Inc.
ASEI	American Science and Engineering, Inc.
ASNA	Ascena Retail Group, Inc.
ASPS	Altisource Portfolio Solutions S.A.
ASTE	Astec Industries, Inc.
ATHN	athenahealth, Inc.
ATMI	ATMI Inc.
ATRO	Astronics Corporation
ATSG	Air Transport Services Group, Inc
AUXL	Auxilium Pharmaceuticals, Inc.
AVAV	AeroVironment, Inc.
AVID	Avid Technology, Inc.
AWAY	HomeAway, Inc.
BBBY	Bed Bath & Beyond Inc.
BBOX	Black Box Corporation
BBRG	Bravo Brio Restaurant Group, Inc.
BCPC	Balchem Corporation
BEAV	BE Aerospace, Inc.
BECN	Beacon Roofing Supply, Inc.
BGMD	BG Medicine, Inc.
BHLB	Berkshire Hills Bancorp, Inc.
BIDU	Baidu, Inc.
BIIB	Biogen Idec Inc
BJRI	BJ's Restaurants, Inc.
BMC	BMC Software, Inc.
BMRN	BioMarin Pharmaceutical Inc.
BODY	Body Central Corp.
BRLI	Bio-Reference Laboratories, Inc.
BSFT	BroadSoft, Inc.
BVSN	BroadVision, Inc.
BWLD	Buffalo Wild Wings, Inc.
CALD	Callidus Software, Inc.
CALL	magicJack VocalTec Ltd
CALM	Cal-Maine Foods, Inc.
CASY	Caseys General Stores, Inc.
CAVM	Cavium, Inc.
CBAN	Colony Bankcorp, Inc.
CBRL	Cracker Barrel Old Country Store, Inc.
CBSH	Commerce Bancshares, Inc.
CBST	Cubist Pharmaceuticals, Inc.
CCIH	ChinaCache International Holdings Ltd.
CCIX	Coleman Cable, Inc.
CCMP	Cabot Microelectronics Corporation
CELG	Celgene Corporation
CERN	Cerner Corporation
CGNX	Cognex Corporation
CHDX	Chindex International, Inc.
CHEF	The Chefs' Warehouse, Inc.
CHKP	Check Point Software Technologies Ltd.
CHSI	Catalyst Health Solutions, Inc
CHTR	Charter Communications, Inc.
CINF	Cincinnati Financial Corporation
CLNE	Clean Energy Fuels Corp.
CLVS	Clovis Oncology, Inc.
CME	CME Group Inc.
CNMD	CONMED Corporation
CNQR	Concur Technologies, Inc.
COHR	Coherent, Inc.
COLM	Columbia Sportswear Company
